class_id,class_name,bbox,filename
14,Audi TTS Coupe 2012,"[39, 116, 569, 375]",cars_train/00001.jpg
3,Acura TL Sedan 2012,"[36, 116, 868, 587]",cars_train/00002.jpg
91,Dodge Dakota Club Cab 2007,"[85, 109, 601, 381]",cars_train/00003.jpg
134,Hyundai Sonata Hybrid Sedan 2012,"[621, 393, 1484, 1096]",cars_train/00004.jpg
106,Ford F-450 Super Duty Crew Cab 2012,"[14, 36, 133, 99]",cars_train/00005.jpg
123,Geo Metro Convertible 1993,"[259, 289, 515, 416]",cars_train/00006.jpg
89,Dodge Journey SUV 2012,"[88, 80, 541, 397]",cars_train/00007.jpg
96,Dodge Charger Sedan 2012,"[73, 79, 591, 410]",cars_train/00008.jpg
167,Mitsubishi Lancer Sedan 2012,"[20, 126, 1269, 771]",cars_train/00009.jpg
58,Chevrolet Traverse SUV 2012,"[21, 110, 623, 367]",cars_train/00010.jpg
49,Buick Verano Sedan 2012,"[51, 93, 601, 393]",cars_train/00011.jpg
186,Toyota Sequoia SUV 2012,"[6, 62, 499, 286]",cars_train/00012.jpg
135,Hyundai Elantra Sedan 2007,"[30, 36, 418, 307]",cars_train/00013.jpg
85,Dodge Caravan Minivan 1997,"[31, 246, 778, 540]",cars_train/00014.jpg
193,Volvo C30 Hatchback 2012,"[32, 77, 589, 379]",cars_train/00015.jpg
172,Plymouth Neon Coupe 1999,"[27, 49, 611, 396]",cars_train/00016.jpg
14,Audi TTS Coupe 2012,"[39, 52, 233, 150]",cars_train/00017.jpg
73,Chevrolet Malibu Sedan 2007,"[3, 8, 190, 147]",cars_train/00018.jpg
192,Volkswagen Beetle Hatchback 2012,"[247, 287, 1366, 761]",cars_train/00019.jpg
57,Chevrolet Corvette Ron Fellows Edition Z06 2007,"[17, 281, 961, 596]",cars_train/00020.jpg
79,Chrysler 300 SRT-8 2010,"[17, 156, 695, 375]",cars_train/00021.jpg
36,BMW M6 Convertible 2010,"[212, 538, 1893, 1131]",cars_train/00022.jpg
120,GMC Yukon Hybrid SUV 2012,"[11, 28, 476, 234]",cars_train/00023.jpg
170,Nissan Juke Hatchback 2012,"[53, 126, 973, 621]",cars_train/00024.jpg
194,Volvo 240 Sedan 1993,"[34, 87, 567, 343]",cars_train/00025.jpg
134,Hyundai Sonata Hybrid Sedan 2012,"[30, 174, 598, 379]",cars_train/00026.jpg
184,Suzuki SX4 Sedan 2012,"[80, 107, 606, 336]",cars_train/00027.jpg
86,Dodge Ram Pickup 3500 Crew Cab 2010,"[45, 115, 585, 382]",cars_train/00028.jpg
180,Spyker C8 Coupe 2009,"[28, 139, 1564, 1126]",cars_train/00029.jpg
194,Volvo 240 Sedan 1993,"[82, 109, 874, 521]",cars_train/00030.jpg
154,Land Rover Range Rover SUV 2012,"[55, 318, 446, 564]",cars_train/00031.jpg
139,Hyundai Elantra Touring Hatchback 2012,"[12, 31, 471, 350]",cars_train/00032.jpg
66,Chevrolet Cobalt SS 2010,"[34, 197, 1011, 656]",cars_train/00033.jpg
133,Hyundai Veracruz SUV 2012,"[37, 63, 614, 397]",cars_train/00034.jpg
154,Land Rover Range Rover SUV 2012,"[223, 87, 1111, 670]",cars_train/00035.jpg
104,Ferrari 458 Italia Coupe 2012,"[138, 41, 521, 223]",cars_train/00036.jpg
38,BMW Z4 Convertible 2012,"[31, 87, 616, 344]",cars_train/00037.jpg
97,Dodge Charger SRT-8 2009,"[16, 89, 459, 326]",cars_train/00038.jpg
105,Fisker Karma Sedan 2012,"[53, 113, 614, 350]",cars_train/00039.jpg
142,Infiniti QX56 SUV 2011,"[214, 110, 660, 403]",cars_train/00040.jpg
13,Audi A5 Coupe 2012,"[61, 55, 566, 408]",cars_train/00041.jpg
191,Volkswagen Golf Hatchback 1991,"[28, 61, 622, 371]",cars_train/00042.jpg
