class_id,class_name,bbox,filename
71,Chevrolet Express Van 2007,"[25, 6, 447, 200]",cars_test/03054.jpg
148,Jeep Grand Cherokee SUV 2012,"[45, 89, 610, 426]",cars_train/07641.jpg
71,Chevrolet Express Van 2007,"[90, 65, 546, 397]",cars_train/02268.jpg
32,BMW X5 SUV 2007,"[17, 39, 277, 200]",cars_test/07240.jpg
74,Chevrolet Silverado 1500 Extended Cab 2012,"[161, 145, 628, 369]",cars_test/05416.jpg
117,Ford Fiesta Sedan 2012,"[156, 19, 598, 315]",cars_test/01557.jpg
139,Hyundai Elantra Touring Hatchback 2012,"[62, 59, 359, 301]",cars_test/05979.jpg
61,Chevrolet Impala Sedan 2007,"[51, 69, 618, 372]",cars_train/02575.jpg
73,Chevrolet Malibu Sedan 2007,"[59, 141, 935, 533]",cars_test/05297.jpg
50,Buick Enclave SUV 2012,"[43, 101, 534, 350]",cars_test/05276.jpg
162,Mercedes-Benz C-Class Sedan 2012,"[16, 39, 228, 163]",cars_train/06543.jpg
88,Dodge Sprinter Cargo Van 2009,"[1, 15, 212, 159]",cars_train/07781.jpg
102,Ferrari California Convertible 2012,"[42, 80, 460, 252]",cars_test/04584.jpg
195,Volvo XC90 SUV 2007,"[29, 74, 609, 413]",cars_test/04968.jpg
68,Chevrolet TrailBlazer SS 2009,"[18, 99, 368, 237]",cars_train/07676.jpg
142,Infiniti QX56 SUV 2011,"[27, 147, 573, 471]",cars_train/00291.jpg
130,Hyundai Veloster Hatchback 2012,"[139, 206, 590, 395]",cars_train/00507.jpg
45,Bugatti Veyron 16.4 Convertible 2009,"[31, 9, 182, 191]",cars_test/07903.jpg
131,Hyundai Santa Fe SUV 2012,"[20, 11, 1007, 717]",cars_train/07662.jpg
177,Rolls-Royce Phantom Sedan 2012,"[68, 98, 203, 162]",cars_test/06103.jpg
60,Chevrolet HHR SS 2010,"[22, 166, 414, 325]",cars_test/02451.jpg
1,AM General Hummer SUV 2000,"[70, 94, 439, 341]",cars_test/07530.jpg
162,Mercedes-Benz C-Class Sedan 2012,"[44, 96, 214, 175]",cars_test/03491.jpg
12,Audi RS 4 Convertible 2008,"[10, 13, 234, 146]",cars_train/04379.jpg
179,Spyker C8 Convertible 2009,"[65, 1, 431, 308]",cars_train/07799.jpg
58,Chevrolet Traverse SUV 2012,"[67, 137, 597, 408]",cars_test/07069.jpg
167,Mitsubishi Lancer Sedan 2012,"[35, 251, 1001, 1114]",cars_test/01938.jpg
187,Toyota Camry Sedan 2012,"[81, 149, 556, 315]",cars_test/02807.jpg
31,BMW 6 Series Convertible 2007,"[39, 283, 890, 671]",cars_test/05486.jpg
171,Nissan 240SX Coupe 1998,"[12, 34, 310, 121]",cars_test/02721.jpg
26,BMW ActiveHybrid 5 Sedan 2012,"[32, 56, 515, 323]",cars_train/07501.jpg
81,Chrysler PT Cruiser Convertible 2008,"[25, 89, 603, 480]",cars_train/07267.jpg
177,Rolls-Royce Phantom Sedan 2012,"[10, 20, 267, 171]",cars_test/06221.jpg
85,Dodge Caravan Minivan 1997,"[11, 61, 621, 387]",cars_test/04015.jpg
138,Hyundai Sonata Sedan 2012,"[30, 128, 402, 307]",cars_train/00568.jpg
